Vertices,Edges,Operations,Theoretical
0,0,0,0
10,20,14,46
10,20,14,46
10,20,18,46
10,20,28,46
10,20,10,46
10,40,28,92
10,40,28,92
10,40,51,92
10,40,41,92
10,40,31,92
10,60,41,138
10,60,40,138
10,60,22,138
10,60,22,138
10,80,39,184
10,80,57,184
10,80,39,184
10,80,48,184
10,100,58,230
10,100,38,230
10,100,60,230
10,100,64,230
10,100,60,230
10,100,58,230
20,40,22,119
20,40,38,119
20,40,20,119
20,40,20,119
20,40,20,119
20,60,96,179
20,80,103,239
20,80,110,239
20,80,96,239
20,80,96,239
20,80,103,239
20,80,82,239
20,80,103,239
20,100,92,299
20,100,78,299
20,100,130,299
20,100,140,299
20,100,108,299
20,100,104,299
20,100,78,299
20,100,108,299
30,40,16,136
30,40,16,136
30,40,8,136
30,40,10,136
30,40,16,136
30,40,10,136
30,40,22,136
30,60,72,204
30,60,86,204
30,60,72,204
30,60,80,204
30,60,94,204
30,60,80,204
30,80,116,272
30,80,78,272
30,80,112,272
30,80,106,272
30,100,210,340
30,100,158,340
30,100,174,340
30,100,190,340
40,40,30,147
40,40,30,147
40,60,44,221
40,80,130,295
40,80,130,295
40,80,130,295
40,80,144,295
40,80,148,295
40,100,152,368
40,100,104,368
40,100,118,368
40,100,152,368
40,100,146,368
50,40,2,156
50,40,32,156
50,40,2,156
50,60,106,234
50,60,114,234
50,60,106,234
50,60,94,234
50,60,94,234
50,80,2,312
50,80,126,312
50,100,204,391
50,100,150,391
