Vertices,Edges,Operations,Theoretical
0, 0, 0, 0
10, 20, 18, 46.05170185988092
10, 40, 47, 92.10340371976184
10, 60, 45, 138.15510557964276
10, 80, 50, 184.2068074395237
10, 100, 53, 230.25850929940458
20, 20, 4, 59.914645471079815
20, 40, 46, 119.82929094215963
20, 60, 112, 179.74393641323945
20, 80, 94, 239.65858188431926
20, 100, 108, 299.57322735539907
30, 20, 10, 68.02394763324311
30, 40, 60, 136.04789526648622
30, 60, 62, 204.07184289972932
30, 80, 174, 272.09579053297244
30, 100, 200, 340.11973816621554
40, 20, 4, 73.77758908227872
40, 40, 2, 147.55517816455745
40, 60, 44, 221.33276724683617
40, 80, 194, 295.1103563291149
40, 100, 170, 368.8879454113936
50, 20, 2, 78.24046010856291
50, 40, 2, 156.48092021712583
50, 60, 6, 234.72138032568876
50, 80, 88, 312.96184043425166
50, 100, 218, 391.2023005428146
