Node_6 Node_38 2
Node_16 Node_7 4
Node_1 Node_22 7
Node_33 Node_23 4
Node_23 Node_36 3
Node_2 Node_34 2
Node_1 Node_31 6
Node_18 Node_9 7
Node_11 Node_39 4
Node_33 Node_2 9
Node_20 Node_27 9
Node_4 Node_37 9
Node_38 Node_22 5
Node_38 Node_22 3
Node_27 Node_11 4
Node_31 Node_5 3
Node_20 Node_0 5
Node_13 Node_34 5
Node_17 Node_15 9
Node_13 Node_6 8
Node_0 Node_16 6
Node_23 Node_8 5
Node_25 Node_29 3
Node_39 Node_5 3
Node_33 Node_22 9
Node_15 Node_20 2
Node_27 Node_34 9
Node_2 Node_25 7
Node_11 Node_14 9
Node_1 Node_26 8
Node_36 Node_35 8
Node_20 Node_11 1
Node_21 Node_17 6
Node_5 Node_34 2
Node_36 Node_4 5
Node_21 Node_35 2
Node_33 Node_37 8
Node_13 Node_29 7
Node_28 Node_31 1
Node_5 Node_10 4
Node_18 Node_26 2
Node_28 Node_19 8
Node_24 Node_10 9
Node_37 Node_22 8
Node_30 Node_22 3
Node_21 Node_10 1
Node_9 Node_11 9
Node_14 Node_30 9
Node_26 Node_16 7
Node_36 Node_9 2
Node_38 Node_18 8
Node_13 Node_19 9
Node_31 Node_33 7
Node_34 Node_33 9
Node_30 Node_32 4
Node_33 Node_28 4
Node_39 Node_19 6
Node_22 Node_27 8
Node_19 Node_28 2
Node_1 Node_0 1
Node_7 Node_16 1
Node_13 Node_16 3
Node_34 Node_22 1
Node_29 Node_4 5
Node_17 Node_32 5
Node_24 Node_5 1
Node_23 Node_2 6
Node_7 Node_28 9
Node_29 Node_7 6
Node_32 Node_15 2
Node_10 Node_2 9
Node_37 Node_32 7
Node_18 Node_34 9
Node_25 Node_24 2
Node_16 Node_39 6
Node_39 Node_16 2
Node_36 Node_9 9
Node_8 Node_0 1
Node_13 Node_33 5
Node_23 Node_24 8
Node_23 Node_39 1
Node_18 Node_19 9
Node_20 Node_1 2
Node_33 Node_20 2
Node_1 Node_21 2
Node_27 Node_33 3
Node_9 Node_13 1
Node_17 Node_28 2
Node_14 Node_18 7
Node_0 Node_25 1
Node_37 Node_28 7
Node_20 Node_17 1
Node_13 Node_5 2
Node_25 Node_28 5
Node_25 Node_21 8
Node_12 Node_30 7
Node_16 Node_24 2
Node_30 Node_8 8
Node_14 Node_36 1
Node_19 Node_15 8
